2024-09-12 20:05:05,923 INFO    MainThread:5048 [wandb_setup.py:_flush():77] Current SDK version is 0.17.9
2024-09-12 20:05:05,924 INFO    MainThread:5048 [wandb_setup.py:_flush():77] Configure stats pid to 5048
2024-09-12 20:05:05,924 INFO    MainThread:5048 [wandb_setup.py:_flush():77] Loading settings from C:\Users\aylin\.config\wandb\settings
2024-09-12 20:05:05,924 INFO    MainThread:5048 [wandb_setup.py:_flush():77] Loading settings from C:\Users\aylin\Documents\MechInt\transformer-addition-length-generalization\wandb\settings
2024-09-12 20:05:05,924 INFO    MainThread:5048 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-12 20:05:05,924 INFO    MainThread:5048 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-12 20:05:05,952 INFO    MainThread:5048 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'transformers.py', 'program_abspath': 'c:\\Users\\aylin\\Documents\\MechInt\\transformer-addition-length-generalization\\transformers.py', 'program': 'c:/Users/aylin/Documents/MechInt/transformer-addition-length-generalization/transformers.py'}
2024-09-12 20:05:05,953 INFO    MainThread:5048 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-12 20:05:05,953 INFO    MainThread:5048 [wandb_init.py:_log_setup():524] Logging user logs to C:\Users\aylin\Documents\MechInt\transformer-addition-length-generalization\wandb\run-20240912_200505-0chms6yj\logs\debug.log
2024-09-12 20:05:05,953 INFO    MainThread:5048 [wandb_init.py:_log_setup():525] Logging internal logs to C:\Users\aylin\Documents\MechInt\transformer-addition-length-generalization\wandb\run-20240912_200505-0chms6yj\logs\debug-internal.log
2024-09-12 20:05:05,953 INFO    MainThread:5048 [wandb_init.py:init():608] calling init triggers
2024-09-12 20:05:05,953 INFO    MainThread:5048 [wandb_init.py:init():615] wandb.init called with sweep_config: {}
config: {'lr': 0.001, 'weight_decay': 1.0, 'p': 113, 'd_model': 128, 'fn_name': 'add', 'frac_train': 0.3, 'num_epochs': 50000, 'save_models': False, 'save_every': 100, 'stopping_thresh': -1, 'seed': 0, 'num_layers': 1, 'batch_style': 'full', 'd_vocab': 14, 'n_ctx': 3, 'd_mlp': 512, 'num_heads': 4, 'act_type': 'ReLU', 'device': device(type='cuda'), 'use_ln': False, 'take_metrics_every_n_epochs': 1000}
2024-09-12 20:05:05,953 INFO    MainThread:5048 [wandb_init.py:init():658] starting backend
2024-09-12 20:05:05,953 INFO    MainThread:5048 [wandb_init.py:init():662] setting up manager
2024-09-12 20:05:05,955 INFO    MainThread:5048 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-09-12 20:05:05,958 INFO    MainThread:5048 [wandb_init.py:init():670] backend started and connected
2024-09-12 20:05:05,961 INFO    MainThread:5048 [wandb_init.py:init():768] updated telemetry
2024-09-12 20:05:06,060 INFO    MainThread:5048 [wandb_init.py:init():801] communicating run to backend with 90.0 second timeout
2024-09-12 20:05:06,507 INFO    MainThread:5048 [wandb_init.py:init():852] starting run threads in backend
2024-09-12 20:05:06,816 INFO    MainThread:5048 [wandb_run.py:_console_start():2465] atexit reg
2024-09-12 20:05:06,816 INFO    MainThread:5048 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-09-12 20:05:06,816 INFO    MainThread:5048 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-09-12 20:05:06,816 INFO    MainThread:5048 [wandb_run.py:_redirect():2401] Redirects installed.
2024-09-12 20:05:06,818 INFO    MainThread:5048 [wandb_init.py:init():895] run started, returning control to user process
2024-09-12 20:05:14,095 WARNING MsgRouterThr:5048 [router.py:message_loop():77] message_loop has been closed
